height,fall,net_fall,flow,power
622.0,86.59,84.84,9.0,6547.15
627.0,91.74,90.84,7.5,6106.92
616.0,81.1,81.55,4.0,2718.5
630.0,94.99,95.165,5.0,4117.9
623.0,87.94,87.92,5.5,4260.63
615.0,79.64,78.19,8.5,5724.7
609.0,73.79,73.14,7.0,4567.91
621.0,86.16,86.765,3.5,2445.67
607.0,73.21,72.935,3.0,1704.59
606.0,70.89,70.665,6.0,3756.28
629.0,93.74,92.84,7.5,6235.34
592.0,58.1,57.55,4.0,1808.24
619.0,84.04,84.365,4.5,3232.65
604.0,69.79,68.14,7.0,4151.46
613.0,77.94,77.92,5.5,3788.28
615.0,81.21,80.935,3.0,1916.21
616.0,80.79,80.14,7.0,5038.52
604.0,69.99,69.165,5.0,2971.63
597.0,63.1,62.55,4.0,2020.14
594.0,59.89,58.665,6.0,2932.27
622.0,86.64,85.19,8.5,6351.92
604.0,69.94,68.92,5.5,3302.26
617.0,82.04,82.365,4.5,3160.35
626.0,90.74,89.84,7.5,6052.62
626.0,90.79,90.14,7.0,5669.32
627.0,91.59,89.84,9.0,7004.26
614.0,78.89,78.665,6.0,4212.27
593.0,58.94,57.92,5.5,2633.21
623.0,87.64,86.19,8.5,6432.8
618.0,83.1,83.55,4.0,2781.02
607.0,71.94,71.92,5.5,3479.58
623.0,87.84,87.415,6.5,5098.97
630.0,95.16,95.765,3.5,2614.44
630.0,94.79,94.14,7.0,5899.36
603.0,68.84,67.415,6.5,3827.62
628.0,92.69,91.54,8.0,6533.29
598.0,63.74,61.84,7.5,3860.64
620.0,84.64,83.19,8.5,6180.53
595.0,61.04,60.35,4.5,2215.72
612.0,76.59,74.84,9.0,5645.89
630.0,95.04,95.365,4.5,3630.98
614.0,78.79,78.14,7.0,4902.93
618.0,82.69,81.54,8.0,5791.08
608.0,72.99,73.165,5.0,3178.81
610.0,74.64,73.19,8.5,5267.49
613.0,77.89,77.665,6.0,4157.42
611.0,75.74,74.84,7.5,4980.6
606.0,70.99,71.165,5.0,3079.6
627.0,91.64,90.19,8.5,6756.95
624.0,88.64,87.19,8.5,6514.44
610.0,74.84,74.415,6.5,4324.04
624.0,88.89,88.665,6.0,4739.22
606.0,70.64,69.19,8.5,4095.41
617.0,81.89,81.665,6.0,4374.66
601.0,66.64,64.19,8.5,4244.6
602.0,67.64,65.19,8.5,4437.82
594.0,59.79,58.14,7.0,3336.76
615.0,80.04,80.365,4.5,3087.19
600.0,65.74,63.84,7.5,4029.39
612.0,77.04,77.365,4.5,2972.79
605.0,71.04,70.365,4.5,2684.37
624.0,88.94,88.92,5.5,4304.41
622.0,87.1,87.55,4.0,2900.22
610.0,74.74,73.84,7.5,4907.97
600.0,65.84,64.415,6.5,3594.32
616.0,82.21,81.935,3.0,1918.87
628.0,93.04,93.365,4.5,3526.71
609.0,73.74,72.84,7.5,4811.86
621.0,85.69,84.54,8.0,6022.18
616.0,80.89,80.665,6.0,4321.12
608.0,73.1,73.55,4.0,2448.11
598.0,64.1,63.55,4.0,2061.11
624.0,88.59,86.84,9.0,6738.92
629.0,93.99,94.165,5.0,4035.79
621.0,85.94,85.92,5.5,4168.76
618.0,82.99,83.165,5.0,3619.78
608.0,72.89,72.665,6.0,3877.93
592.0,58.04,57.365,4.5,2073.31
600.0,65.89,64.665,6.0,3331.84
596.0,62.1,61.55,4.0,1978.39
622.0,86.69,85.54,8.0,6097.29
598.0,63.99,63.165,5.0,2650.41
611.0,77.21,76.935,3.0,1802.07
